(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
(keyboard#positive),The keyboard has a wonderful nature feel.
(battery#neutral)(hard disk#neutral),"They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it."
,"*4 weeks after giving the computer for repair*-Annoyed at MacHouse Amsterdam, decided to send complaint email to Apple."
,"While there are occasions that my computer will freeze or will need to be manually shut down, this occurs far less frequently than on PC computers and laptops that I've used."
,Bought with a credit card.
(battery#negative)(battery#positive),The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
(performance specs#neutral)(features#neutral),"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard."
,I did a lot of research and ended up thinking this Toshiba was the best one for me.
,"""  I've had it now about 2 months and absolutely LOVE IT."
(quality control#negative),I have no idea how this could have even gotten past quality control during production.
(touch-mouse#negative),"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding."
,I am so happy to have purchased this computer.
(numeric pad#negative),"Oh yea, has no numeric pad on the side."
(cover for the DVD drive#negative)(construction quality#negative),"The cover for the DVD drive soon came off, too--a mark of poor construction quality."
,I returned the 2nd laptop for a full refund.
,really no problems with the hand me down computers I received from my children.
,I did not take the class and wish that I would have.
,It would be a load on long trips where a lot of walking is required.
(arm velcro#negative),But the arm velcro is torn after one use.
,Not good for a person who gets online daily.
,The laptop was returned but audio issue was not fixed.
,"I can't even remember how I finally got it taken care of, but I was done with Sony after that!"
,So it was only about 2 weeks ago.
,"I just love this lap top, I just wish it were all silver or they had all black."
(software#positive),The software is amazing.
(LCD#negative),"We carry the netbook around here and there, hence it's kinda of irritating when the LCD just ""slide"" downwards."
,There is nothing better.
,I now own another Hewlitt Packard.
(2 GB of RAM#positive)(Windows 7#positive)(programs#positive),"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown."
(battery life#positive)(versitility#positive),"The battery life is amazing, the versitility is outstanding."
(Safari#neutral),"It is known as Safari, and if you are doing any website work, you should know that many hosting companies do not support it."
(Vista#negative),Vista is a nightmare.
,i spent eight hundred dollars from a giant paper weight that looks good on a bus.
,  I have used a couple of others on the job as well.
(program#positive),The program came with the computer and works beautifully.
,"Posted Nov 8, 2010 - Two weeks ago I bought this notebook."
,  Acer won't replace the laptop.
,I am also upset with CR for giving a good rating.
(hinge design#negative),"the hinge design forced you to place various connections all around the computer, left right and front."
,I have owned macbook pros since 2005 and this is the best yet!
(screen#positive)(display#positive)(browsers#neutral),"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it."
,"Now I could get myself a cheap computer, that will probably work a whole lot better!"
,I would definitely not go back to using a PC after using the mac.
(Runs#negative),The So called laptop Runs to Slow and I hate it!
,"This is the first laptop I've owned, althougth I used several at my previous job."
,"Those moments in thime where you want to throw something against the wall? Yeah, I wanted to throw that lap top out the window and light it on fire."
(Charger#negative),Charger seems large for this class of computer.
,I don't really have a complaint.
,I'm pretty sure it's not newegg's fault but when you turn on a computer you just bought you want it to at least get to desktop.
,  Best Buy ended up junking the computer and giving me a replacement computer.
(speakers#negative),I dislike the quality and the placement of the speakers.
(screen graphics#positive)(clarity#positive)(sharpness#positive),"The screen graphics and clarity, and sharpness are great."
,If I have a problem with any of my apple items I make an appointment at one of my local stores and they work on correcting it right there.
(customer support#positive)(performance#neutral)(safety feature#neutral),"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message."
,"I claim that this has no value to me, the laptop was new anyway."
,Enough said.
,Not working = bad
,i would really recommend to any person out there to get this laptop cause its really worth it.
,Otherwise this little notebook has met all my expectations.
,My son said it popped up and he clicked update.
,I lost two items I was working on until I figured out what was happening.
(unibody design#positive),The unibody design is edgy and durable.
(BOOTING UP#negative)(one-year warranty#neutral),STOPPED BOOTING UP less than a week after my one-year warranty was up.
(cost#positive),"But, for the cost this is a winner."
,"Let me tell you, this machine is great."
,I have used a computer at work but having your own personal laptop is AWSOME!
(charge#negative),Later it held zero charge and its replacement worked for less than three months.
,"  The second issue I had with it occured a month later and it kept overheating, even if on for less than an hour!"
(battery#negative),"  Also, the battery does not last very long at all."
,Good luck with your purchase options.
,"Buy this if you like being tortured, teased, frustrated and wasting twice as much time as you spent using your old Mac."
,Very disappointed!
,They are asking me to ship the unit back to fix it at their site.
(software#conflict)(software#negative),"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often....."
(price#neutral)(features#neutral),I looked around and based off my price/features comparison from a brand I trusted I landed here.
(services#negative),  I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.
(performance#positive)(speed#positive)(use#positive),Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers.
(Bluetooth 3#neutral),Unless you need the Bluetooth 3.
(warrenty#negative)(fan blade#negative),I was sorly disapointed to discover that HP (what I thought was a reputable company) wouldn't honor the warrenty when the fan blade fell apart.
,That is pretty sad when they name them specifically.
(internet connection#negative),"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed."
,No viruses.
,It is everything that I would want in a computer.
(external harddrives#negative),Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.
,"However, If I sound enthusiastic about this, I am!"
,You will fall in love with it in no time.
,i give this laptop a five star review i love it and it has done chams for me.
,  They removed them and returned the computer to me.
(Windows 7 Starter#negative),I don't understand why only Windows 7 Starter is included.
,"On 3 July 2004, I purcased this model at Best Buy for about $150"
,I went with him and we picked this one.
(functionality#positive)(value#positive)(simplicity#positive)(look#positive),"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs."
,This is my second MACBOOK PRO and it's better than ever.
(looking#positive),My macbook is so much better looking and so thin!
,The notebook would not turn back on again.
(use#positive),The ease of use is wonderful.
(Windows 7 Starter#neutral),This system came loaded with Windows 7 Starter.
(battery life#negative),"-When battery life went to 4 hours or less, took it to the MacHouse Amsterdam for repair (26th of August)."
(battery#negative),The battery gets so HOT it is scary.
(programs#positive),Best thing is I can use existing 32 bit old programs.
(keys#positive)(look#positive),It's so nice to look at and the keys are easy to type with.
,The apple macbook pro nothing to say butprofessionally great and outstanding.
,"It's also very energy efficient, running on a quarter of the power it takes to run a 60 Watt lightbulb."
(Windows#negative),I am forever changed and will no longer buy a Windows based machine for personal use.
,"Mom, Dad, Brother, sister, You name it!"
,but it came back in even worse shape.
(mouse keys#negative),The only thing I would change about it is the mouse keys.
(features#negative)(use#negative),"It is absolutely horrible to use, despite all its so called advanced features."
(drivers#neutral)(Windows 7 Ultimate#neutral),"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site."
(mute#negative),I have to keep turning it until it decides to lower and there is no mute.
(color reproduction#positive),It's still beautiful and has better color reproduction than I could ever expect from a notebook.
(warranty#neutral),After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.
,"So far, a great product."
(use#positive),He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.
(start up#positive),"u can do what u want in just few seconds, even to start up your computer takes few seconds."
,It's the most wonderful thing in the entire world.
,"So I'd pop them off to see what the problem was, well guess what? The darn thing wouldn't go back on."
(features#positive),"Also, macbooks come with much more features which are so cool!"
(Sony 'Certified' technician#neutral),They sent out a Sony 'Certified' technician.
(proprietary software#positive),They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.
(Apple Care plan#positive),Getting the Apple Care plan is a must.
,"I've saved a lot of time and headaches so far, using my new MacBook Pro."
(cd drive#neutral)(video games#neutral),overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.
,-Apple offers to send replacement and after 10 days I send them the old computer.
,"So far, I have no complaints."
,His was worth $36.
,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.
,"I spent 2200 dollars on a ""top of the line laptop""."
,I also own an HP notebook and it doesn't even come close.
,Our Apple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.
(programs#neutral),"I am constantly trying to uninstall programs, clean cookies, and delete unused files."
(processor#positive)(memory#positive)(hard drive#positive)(web cam#positive)(screen#positive)(features#positive),"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features."
(battery#negative),The only downfall is the battery only last 1.5-2.0 hrs when not plugged in.
(graphics#positive),The graphics on this computer are also stellar - very clear and vivid.
(trial software#negative)(battery life#negative)(webcam#negative),"Aside from the trial software and the short battery life, lack of a webcam, its great."
(Windows#positive),"As a die-hard Windows enthusiast, I shunned the idea of a Mac until this point."
(motherboard#negative),I think that if it is the motherboard again so soon that they should replace it.
,if this computer every breaks down on me i will most definatly get the same one again.
,"I had a MacBook Notebook, and it had absolutely no protection from viruses, spyware, malware, etc."
(programs#positive)(loads#positive),"The computer loads in about a 1/10th of the time that my PC did, and I have all of the programs that were on my PC."
,I made the right decision.
,"In the past few years, I've had terrible experiences with HP."
,"Overall, it's ok."
(Graphics#positive)(internet interfaces#positive),"Graphics are clean and sharp, internet interfaces are seamless."
(black keyboard#negative),"The newer black keyboard took a little bit away from the previous gray one which looked really slick, but it is still a great notebook!"
(service#negative),Sony parts reliability and quality of service is recenlty the worst.
,I am very Happy!
(software options#negative)(applications#negative),"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications."
(features#neutral)(functioning#neutral)(programs#neutral)(Office#positive),"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs."
,I occassionaly use it for work via VPN and it has not given me any problems.
,I sent it back AND THEY LOST IT.
(works#positive),It just works flawlessly!
(service center#negative),"Do you think I purposely ""destroy"" my netbook, so that I can demand a new set? Do you think it's fun to take public transport all the way to the service center and get a non-satisfactory solution? Or rather NO solution."
(port#negative),I'm having the laptop returned unrepaired since paying $176 every 3  months just isn't worth it (that's about how long the port seems to  last).
,Ok first.
,"So if you move laptop a lot, it might get loose, however it sits pretty tightly."
,another satisfied customer.
(battery#negative),  also the battery is completely shot.
,Highly recommended!
(cooling system#positive)(grafics card#positive)(LED backlit screen#positive)(8GB RAM#positive),/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...
(instructions#negative),The biggest problem is that the box had no instructions in it.
(operation#negative),"But after using it a couple of weeks, the overall operation is poor."
,"Will not buy another Toshiba, this is my second, not happy w/ either."
(value#positive)(built#positive)(works#positive),"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box."
,"The cool thing about the Mac Book was that I went on my honeymoon and shot a bunch of pictures and movies with my iPhone, then I came back and put them onto my Macbook and made a pretty good DVD movie with all the pictures and videos from my trip."
,"for two months, when YOU GUESSED IT."
,This was my first MacBook purchase ever.
(Screen#positive)(system#positive),Screen is crystal clear and the system is very responsive.
(cost#conflict),I will stack it up against laptops that cost twice as much any day.
,Quite simply this is the best laptop I have ever owned.
(cursor#negative),Or the cursor would show up some place else.
,The newer MacBook that I have purchased is one of the best computers.
,I have had some excellent computer and have found I had no idea what to do with them
,"As it turns out, I just didn't know any better."
,I've had friends with Acers who seem to have had similar or exact same problems.
,What can I say.
(software#neutral)(operate#positive)(gadgets#neutral),It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.
,What's also interesting is this survey changed my ratings the first time I submitted it in case it doesn't keep what I put here are my aratings
(Windows#negative)(hard drive#negative)(disk image#negative),"it might be something deep within Windows, for I was unable to create a disk image on my hard drive."
,I had a toshiba for 10 years.
(track pad#positive)(track pad#positive),"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!"
(disc drive#negative)(drive#negative)(drive#neutral),"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive."
(Appleworks#negative)(word processing program#negative),"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all."
,she can't tell the difference between it and her regular desktop system.
,With in weeks of purchasing my computer is began to slow down.
,It doesn't bother me though.
,I've had this laptop for about a month now.
(size#neutral),I already have a HP laptop I bought last year that's standard size.
,It was okay for over a week before the blue screens started occuring again.
,  English must have been his third or fourth language.
(Battery#negative)(battery#negative),Battery is not upgradable to a longer life battery.
,I am just ONE of the million customers.
,it has times were it freezes for 10 seconds and then starts again.
(usage#positive),apple has a reputation and is well known for its easy usage.
(speaker grill#negative),Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.
"(MacOSX#positive)(Windows 7#positive)(dual-core#neutral)(quad-core#neutral)(22"" Monitor#neutral)","I just plug this into my 22"" Monitor and the speedy MacOSX performs just as well on this dual-core that my Dell did with Windows 7 with a quad-core."
(graphics#positive)(programs#positive)(Garageband#positive)(default background#positive),"Love the graphics, awesome programs (including Garageband), and really cool default background."
(Screen#neutral)(keyboard#neutral)(screen#positive)(island backlit keyboard#positive)(multi-touch mouse#positive)(mouse#neutral),"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone."
,I am taking back today.
,"My parents bought it for me as a graduation gift, and i'm totally (almost kind of maybe definitely) obsessed with it."
,The MacBook is way too overpriced for something so simple and chaotic.
,"-Complied to their protocol, called number, made ""case"", got an email address to send complaint."
(OS#conflict)(Windows#neutral),The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!
,It quit working within a weeks time.
,but after i got used to it i love it.
(iWork#neutral)(programs#neutral)(Microsoft Office#neutral)(word processing#neutral)(spreadsheets#neutral)(presentations#neutral),"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office)."
,"  After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt."
(runs#positive),"Overall, I experienced a huge change in that my mac runs pretty fast compared to my old PC."
(warranty#neutral),When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
(built it web cam#positive),It also came with a built it web cam which is great because I can see an communicate with my family members back home.
(monitor#positive)(performed#positive),Good monitor and performed well.
,They are closed at 9pm eastern.
,"In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily."
,"Although my model was listed as recalled, HP denied my claim."
(navigate#positive),It was secure and easy to navigate.
(graphics cards#positive),"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around."
(bluray player#neutral)(book#negative),The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.
,I am loyal to Apple.
(systems#positive),They are by far the easiest systems to actually learn about computers with.
,I will be patient for few months.
(internet#neutral),this apple navigates you thru the unexplored world of the internet.
,This was purchased for my daughter and I was pleasantly surprised.
,Finally set the unit back to HP after a month of hell.
,"I couldn't afford a new mac, so I bought a PC instead."
(video card#conflict)(gaming#positive)(media#positive),"The video card is great for media, and above average for gaming, but not a gamers first choice."
,It was always getting froze up.
,"my information was all lost (my fault, I know, but I never thought I would need to back up my information on a brand new Mac, the paragon of all computers!"
,But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!
,I got the blue screen of death the first month I got it.
,This is the third MacBook Pro in our family.
,Apple continues to shine and provide a much more enjoyable computer experience!
(3 year warranty#neutral),"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement."
(thermal paste#negative),"Apparently there is a manufacturing defect, something with the amount of thermal paste."
(internals#negative),Despite the claims of the Apple apologists (a vice of which I am recently myself reformed) the internals of Mac laptops are NO different from PCs' at this point.
(customer support#negative),Took several hours with customer support before I could even start the PC out of the box.
(facial recognition#negative)(windows logon#negative),Asus facial recognition doesn't work and windows logon isn't either.
(Windows Vista#negative)(online service#negative),Windows Vista makes this computer almost unusable for online service.
(recovery DVDs#positive),"I contacted Acer and they are giving me FREE recovery DVDs, so don't go and pay for them, just ask for them and they should give them to you."
(webcam#neutral)(keyboard#neutral)(carry#positive),Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.
(display#positive),Can listen to my music and watch my videos with ease and with a great display.
(features#neutral),"Otherwise, all other features are a 1"
,"So in late March, early April 2009 I was without it again for a couple weeks while I had online courses I had to complete and my fiance was in Afghanistan and web conferencing was the best communication method we had."
(performance#positive),The performance is awesome.
,I pondered very long over this decision.
,This thing sucks!
,I Love my new computer!
,"Okay, let's just start out by saying I am in no way a computer techy."
,It was a Waste of money from day one!
,I'm new - just switched from years of PC frustration.
,So I got another netbook which I love!
,But in fact it is totally the opposite.
(display#negative),The display is beyond horrible.
,"He LEFT ME, instructions on what to do when this comes up, or that comes up......"
,It's a joke.
(memory#negative)(hard drive#negative),There is hardly any memory on the computer's hard drive.
(sound#negative),"Actually, I had noticed the one on the sales floor also didn't have sound!"
,I started hainv problems with it within the first month.
(fans#neutral),"Next, most Acer laptop fans are on the bottom which is right on your laptop."
(preformed#positive),the laptop preformed pretty well.
,"I'm honestly afraid that it will burn me, it's that hot!"
,But I don't see it as a problem.
,Numerous problems over the next 3 weeks until I got the blue screen of death and had to send the PC back to HP.
,I think this will happen to any new version of computer/phone released and I need to wait for the next set of updates to have all of this fixed.
,This one has had the same effect.
,And if you are a game player it works with World Of Warcraft wonderfully.
,This computer is absolutely AMAZING!!!
,So buyer beware when buying Toshiba
,  I found this laptop on sale for under 6000 at Best Buy which was a great deal!
(system#neutral),I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.
,I love the Apple products.
(windows OS#negative),I loved the netbook (minus the fact that it was windows OS) until this started happening.
(user interface#positive),"The minute you fire it up it's all good, very easy user interface."
,"I have had two Toshiba satellite computers and while they are okay, they are in no way comparable to the Mac."
(warrenty#negative),  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.
,"They're absolutely useless, unless you count the joy of releasing anger while smashing into little peices against the wall."
,was a great deal i will give that.
(iDVD#positive)(program#positive)(program#positive),"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be."
,"  His language was so bad I swore I was taking the turing test, and it was failing."
(hard drive#neutral)(battery#negative),After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.
,  Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?  Probably not ever again.
,I have used PC's and converting to this MacBook Pro was easy.
(screen#positive)(works#positive),"I love the easy to see screen, and It works well for work, persoal or just play."
(word processing#neutral)(surfing#neutral),"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want."
,"-Apparently, contactus@euro.apple.com is not a good address to send complaints."
,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important."
(mouse pad#negative)(buttons#negative),the mouse pad and buttons are the worst i've ever seen.
,I am sorry that I purchased this laptop.
(graphics#positive),Awesome graphics!
(play#positive)(work#positive),It really is perfect for work and play.
(Intel i processors#negative)(edge#negative)(edges#negative),"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists)."
,I am a college student and it has been very useful.
,The apple MacBook is the best investment that I have ever made.
,My sister is the electronics manager at Wal Mart and she says that HP is the best.
(sound quality via USB#negative),One drawback I noticed was sound quality via USB.
(battery life#negative)(warranty#negative)(extended life battery#conflict),"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased."
,"I needed a new computer for graduate school (had never owned a laptop before), and the only reason I didn't purchase a Mac was because my school's website strongly recommended students purchase PCs."
(operating system#negative),"I have had another Mac, but it got slow due to an older operating system."
,If you have the money I suggest going for the i7.
(Windows XP drivers#negative)(sound card#negative)(Windows 7#positive),"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out."
(features#positive)(budget#positive),"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need."
,"It is, however, very heavy."
(motherboard#negative),"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems."
(Google Chrome#conflict),"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes."
(speakers#negative),"Also the speakers are not very loud, But it is a netbook."
(PRICE#positive),LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!
,"But, at the same time they (the company) would not and could not do anything about my problem."
(screen#negative),Just a black screen!
,All you have to do is turn it on and it works.
(art aspect#positive),A key contributor that led me to Mac is the art aspect.
(battery#negative),"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on."
,Recently there are a few incidents that annoy the hell out of me.
,Save your money and go for a better device.
,"I have been a PC user since middle school, but in my mid twenties I decided to convert to the dark side, or should I say the brighter side of life."
(surfing#positive),"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc."
,without having to have extra equipment and/or complicated routes to take to be able to do so.
(pre-loaded Norton Firewall/Security program#negative),My first problem was with the pre-loaded Norton Firewall/Security program.
(USB connect#negative),"I had a USB connect but, i can't use it because it is not compatible."
(hard drive#negative),"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed."
,I ordered four D620 laptops.
(expense#negative),"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers)."
,"I saw this one, and I have the most difficult time trying to use them, they've made great dust collectors, I hate putting this computer down"
(cd drive#conflict),"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop."
(multi-touch trackpad#positive),I love the multi-touch trackpad.
,I was psyched.
,I absolutely love my mac!
,From the second you open the box you will fall in love with this computer!
(extended warranties#negative)(cost#negative),HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.
,It would not let me connect to my Wifi system where I lived.
(software#positive),"Not too much ""junk"" software to remove."
(performance#negative)(System#negative),System is loosing about 20% of performance because of that.
(quality#positive)(price#positive)(use#positive),"It is easy to use, good quality and good price."
(Apple keyboard#neutral)(PC's keyboard#neutral),"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!"
,It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.
(extended warranty#neutral),The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.
(RAM#neutral),"Only issue is that it is a little slow, and I'm fixing that by adding more RAM."
,It is easily portable and I take it everywhere I go and might require internet access.
,"If I have a few hundred dollars to spare, I'd buy the Pro line though, the 2.53 and 2.66 GHz model."
(hard drive#negative)(power cord#negative),"  The hard drive crashed as well, and I had to buy a new  power cord."
,"But enough about that, I am an Apple convert for life."
,I love it and will probably get another one when this goes to the Laptop in the sky!!
,"But, Mac makes the switch from PC to Mac easy."
(battery#negative),Another issue I have with it is the battery.
,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER."
,Now I know!
(power supply#neutral)(techies#neutral),"After 2 months of complaints, Asus finally sent the right power supply to my techies."
,"Even set at the highest level, the computer sacrifices its  queen every time."
(Sony Sonic Stage software#neutral)(speakers#positive)(subwoofer#positive)(extended life battery#neutral)(Docking port#neutral)(bluetooth mouse#neutral)(bluetooth enabled#negative),"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port."
(works#positive),"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter."
(Keynote#neutral)(Powerpoint program#neutral),PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.
,I can't begin to say how disappointed I am.
(size#positive)(size#positive),"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room."
(browser#neutral),"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works."
(carry#positive),"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets."
(keyboard#negative)(keyboard#negative),also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.
,"Take the simple, easy solution to your computer problems and stop waiting and smacking your old computer around."
,It is as good as new.
,"And it didn't show up on the reciept, I don't know how we ordered it online!"
,"I went from BestBuy to Dell, Windows to Apple."
,Back then my entire family was Devoted to the Sony name.
(programs#negative)(drivers#negative),"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues."
(space#positive),Love that it doesn't take up space like a regular computer.
,*3 weeks after giving the computer for repair*-Visited MacHouse Amsterdam.
,"They don't seem to be susceptible to viruses, which is one less big thing to worry about when it comes to computers."
,  I was very excited because this was my first personal computer and I was purchasing it with my OWN money I had recieved from graduation presents.
(customer service rep#neutral),Asked the customer service rep.
(genius bar staff#negative)(fan#neutral)(boot up#neutral),"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up."
,I cannot even imaging going back to a PC after using this wonderful computer.
,Basic computer.
,I fell in love with the hp pavillion and that was my replacement and now I could not imagine going back to an acer at all.
,It turns out that this hp pc had been preciously sold by Wal Mart.
,I would totally recommend any other laptop over this pile of grabage.
,  I managed to comply with these too and now have to wait and see if they can find another way to screw me.
,I should have bought one a long time ago.
,I looked at the computer and it said updating but the asked for a product key.
,I got what I paid for.
(graphics#conflict)(non-dedicated graphics card#conflict),"Just keep in mind the graphics is not dedicated so loading the movie almost took a minute, but it ran fairly smooth for a non-dedicated graphics card."
(Mouse Cable#negative)(mouse#negative),"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area."
,  However I dealt with this problem for over a year and it was more of a hastle then I have EVER had with anything.
,"I got the first ""Blue screen of death"" in the early part of July."
(RAM slots#neutral)(HDD Bays#neutral)(16GB RAM support#neutral)(Wireless#positive),"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me."
(ASUS TECH SUPPORT#negative),I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.
(screen#negative)(screen#negative)(display#negative),"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display."
,It seems to be incompatible with everything else.
(mouse on the pad#neutral)(left button#negative),"the mouse on the pad, the left button always sticks."
,  When I took it back to Best Buy I asked them if they were seriously trying to drive me insane!
(batteries#negative),  i have tried to charge on different batteries with no luck.
(battery life#positive),"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing."
(built in tools#neutral)(iTunes#positive),"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone."
,But my blog is read by my friends and search engine visitors.
,It was returned on the third day I owned it.
,"IT WANT TAKE IT, IT KEEP SAYING ERROR."
,"Anyone who is considering buying an Acer computer of any sort, I seriously suggest you look into buying a different brand."
(size#positive),the size of has actually help me out quite a bit by me being able to fit it in an already full backpack and to use it at a resturant where the food on the table is always so space consuming.
,Highly recommend for daily use.
,We are addicted to the Mac.
,Because it IS a defective product.
,"Second, it gets scratches easily and when it gets old some thing may operated"
(quality#positive)(price#positive),True quality at a great price!
(carry#negative),Not easy to carry.
(programs#positive)(Leopard running system#neutral),The programs that come standard with the Leopard running system are enough for the average person to run all the basics.
,I am really heartbroken to have to post a terrible review.
(LG service center#negative)(service center#negative)(service#negative),"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center""."
(Material#positive)(Specs#negative)(performs#positive),The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.
